nazwa,plec,prawdopodobienstwo,typ_wariantu
JANUSZ N.,M,0.008067262817692794,first_initial
DANIEL N.,M,0.008008044059874032,first_initial
KAROL N.,M,0.00772518247158315,first_initial
PRZEMYSŁAW N.,M,0.007689306434194914,first_initial
ALEKSANDER N.,M,0.007589226267558641,first_initial
HENRYK N.,M,0.00700332864397804,first_initial
ADRIAN N.,M,0.006967638975615197,first_initial
MIKOŁAJ N.,M,0.006594667963546592,first_initial
FRANCISZEK N.,M,0.006565734172354261,first_initial
DOMINIK N.,M,0.006360355506370699,first_initial
KAZIMIERZ N.,M,0.006174825141591537,first_initial
ARKADIUSZ N.,M,0.006164155514887764,first_initial
WIESŁAW N.,M,0.006063329872149917,first_initial
BARTŁOMIEJ N.,M,0.005873885757837493,first_initial
OLEKSANDR N.,M,0.005828737861435934,first_initial
MARIAN N.,M,0.005548532031756909,first_initial
WIKTOR N.,M,0.005494485014392814,first_initial
KRYSTIAN N.,M,0.005179987284041398,first_initial
LESZEK N.,M,0.005052604055184986,first_initial
RADOSŁAW N.,M,0.004820854172108254,first_initial
WALDEMAR N.,M,0.0047736096241710185,first_initial
IGOR N.,M,0.0044884184230627195,first_initial
HUBERT N.,M,0.004232300789915796,first_initial
BOGDAN N.,M,0.004222190270288202,first_initial
KONRAD N.,M,0.004210588798457461,first_initial
ZDZISŁAW N.,M,0.0039753910884109496,first_initial
MARCEL N.,M,0.0038643617415328123,first_initial
OSKAR N.,M,0.0037719692971940185,first_initial
NIKODEM N.,M,0.0036117851198683637,first_initial
ANDRII N.,M,0.003587463962054521,first_initial
SERHII N.,M,0.003511565176463046,first_initial
MAKSYMILIAN N.,M,0.003509421932671021,first_initial
EDWARD N.,M,0.0033981596245111424,first_initial
MIECZYSŁAW N.,M,0.0032279581120705906,first_initial
LEON N.,M,0.00321095193850344,first_initial
MIŁOSZ N.,M,0.003177358921676274,first_initial
VOLODYMYR N.,M,0.003168506392970086,first_initial
DMYTRO N.,M,0.0030152644618403365,first_initial
WŁADYSŁAW N.,M,0.0029989105798620625,first_initial
OLIWIER N.,M,0.0028971530919972488,first_initial
IVAN N.,M,0.0027884067656801814,first_initial
CZESŁAW N.,M,0.002751412514139585,first_initial
IRENEUSZ N.,M,0.002673044338961647,first_initial
BOGUSŁAW N.,M,0.0026451355774089803,first_initial
MAKSYM N.,M,0.0026102845696604087,first_initial
EUGENIUSZ N.,M,0.0025842860906180247,first_initial
WITOLD N.,M,0.0025281424217182533,first_initial
ALAN N.,M,0.002479406921577871,first_initial
IGNACY N.,M,0.002460117727449651,first_initial
SYLWESTER N.,M,0.0024387318817857546,first_initial
STEFAN N.,M,0.0024270372254423167,first_initial
CEZARY N.,M,0.002244628541838495,first_initial
GABRIEL N.,M,0.0022188164318215045,first_initial
ZYGMUNT N.,M,0.002154425933548074,first_initial
MYKOLA N.,M,0.0021323877962953004,first_initial
JULIAN N.,M,0.002099866401364147,first_initial
TYMON N.,M,0.002044747762104039,first_initial
WŁODZIMIERZ N.,M,0.0020176310689092947,first_initial
VITALII N.,M,0.0019492802288462536,first_initial
TYMOTEUSZ N.,M,0.0018982151158884533,first_initial
VLADYSLAV N.,M,0.0018549309097408288,first_initial
YURII N.,M,0.0018494330234917224,first_initial
NORBERT N.,M,0.001829211984236535,first_initial
MYKHAILO N.,M,0.001825810749523105,first_initial
ZENON N.,M,0.001807593177290897,first_initial
IHOR N.,M,0.0017997656782243728,first_initial
VASYL N.,M,0.0017828060969135705,first_initial
ARTEM N.,M,0.0017501449252133715,first_initial
FABIAN N.,M,0.0017042049604538906,first_initial
OLEH N.,M,0.001647502184477939,first_initial
BŁAŻEJ N.,M,0.0015437878218464939,first_initial
BOHDAN N.,M,0.0014850349865912146,first_initial
VIKTOR N.,M,0.0014456179377205036,first_initial
ERYK N.,M,0.0014100680461267066,first_initial
EMIL N.,M,0.0013829047606756138,first_initial
OLEKSII N.,M,0.001278677883224337,first_initial
DENYS N.,M,0.0012615785251444895,first_initial
NATAN N.,M,0.0011612653972264749,first_initial
RUSLAN N.,M,0.0010894201379373068,first_initial
KSAWERY N.,M,0.0010841552129699423,first_initial
BORYS N.,M,0.0010203238217726918,first_initial
LECH N.,M,0.0010064859216372295,first_initial
YAROSLAV N.,M,0.0010038301630253732,first_initial
PAVLO N.,M,0.0009674416108173056,first_initial
ALIAKSANDR N.,M,0.0009494569998668393,first_initial
OLAF N.,M,0.0009300280289695741,first_initial
WACŁAW N.,M,0.0009183333726261362,first_initial
BRONISŁAW N.,M,0.0009051477640795508,first_initial
REMIGIUSZ N.,M,0.0009037499963891002,first_initial
KAJETAN N.,M,0.0008869767841036913,first_initial
VADYM N.,M,0.0008839948796973963,first_initial
BRUNO N.,M,0.0008639602094676024,first_initial
KUBA N.,M,0.0008227260625993056,first_initial
ANDREI N.,M,0.0008166224770176706,first_initial
ANATOLII N.,M,0.0008112177752812611,first_initial
BERNARD N.,M,0.0007813055467056153,first_initial
BOLESŁAW N.,M,0.0007780906810175786,first_initial
ILLIA N.,M,0.0007552138831505348,first_initial
ANTON N.,M,0.0007348996593826507,first_initial
YEVHEN N.,M,0.0007335484839485483,first_initial
TOBIASZ N.,M,0.0007287028892883191,first_initial
DAVID N.,M,0.0007254880236002825,first_initial
ALBERT N.,M,0.0007149115814092051,first_initial
NAZAR N.,M,0.0006866300818057519,first_initial
ALEXANDER N.,M,0.0006838345464248504,first_initial
GRACJAN N.,M,0.0006737240267972567,first_initial
PETRO N.,M,0.0006678068102410152,first_initial
LUCJAN N.,M,0.0006661760812688227,first_initial
YEVHENII N.,M,0.0006656635664489907,first_initial
SIARHEI N.,M,0.0006645453522966301,first_initial
SEWERYN N.,M,0.0006484710238564466,first_initial
DZMITRY N.,M,0.0006403639712518323,first_initial
EDMUND N.,M,0.0006333751327995787,first_initial
STANISLAV N.,M,0.000631604627058341,first_initial
KORNEL N.,M,0.0006179530959482722,first_initial
DANYLO N.,M,0.0006116165490848954,first_initial
ROMUALD N.,M,0.0006019719520207853,first_initial
OLIVIER N.,M,0.0006006207765866829,first_initial
VALERII N.,M,0.0005959615509518472,first_initial
SZCZEPAN N.,M,0.0005905568492154377,first_initial
MARK N.,M,0.0005760666574910983,first_initial
TARAS N.,M,0.0005702426254475536,first_initial
ALEX N.,M,0.0005584081923350707,first_initial
ERNEST N.,M,0.0005341802190339244,first_initial
KOSTIANTYN N.,M,0.0005264924967364454,first_initial
JOACHIM N.,M,0.0005040350291765368,first_initial
VIACHESLAV N.,M,0.000492480149602144,first_initial
JĘDRZEJ N.,M,0.00048218326094915694,first_initial
ALFRED N.,M,0.00048097186228409966,first_initial
TEODOR N.,M,0.00047864224946668173,first_initial
LEONARD N.,M,0.00047705811275083757,first_initial
LUDWIK N.,M,0.00046443161128043253,first_initial
FELIKS N.,M,0.00046266110553919496,first_initial
MILAN N.,M,0.00045776891862261737,first_initial
LESŁAW N.,M,0.00045576545159963796,first_initial
BOGUMIŁ N.,M,0.0004513857795028923,first_initial
NIKITA N.,M,0.0004399706766975446,first_initial
KYRYLO N.,M,0.0004377342483928234,first_initial
OLIVER N.,M,0.00043237613891276226,first_initial
GERARD N.,M,0.00042794987455966823,first_initial
DANIIL N.,M,0.00042692484492000437,first_initial
JULIUSZ N.,M,0.0004227781341050005,first_initial
PAVEL N.,M,0.00041993600646775064,first_initial
DENIS N.,M,0.000419330307135222,first_initial
MYKYTA N.,M,0.0004192371226225253,first_initial
YEHOR N.,M,0.00041728024785589425,first_initial
ALEKS N.,M,0.0004121550996575749,first_initial
MATVII N.,M,0.0004065174366394236,first_initial
MAKSIM N.,M,0.000385364552257269,first_initial
MICHAEL N.,M,0.0003835008620033347,first_initial
DORIAN N.,M,0.000382755385901761,first_initial
ALIAKSEI N.,M,0.00037935415118833083,first_initial
MARTIN N.,M,0.00037744386867804815,first_initial
OLEG N.,M,0.0003682186019210733,first_initial
NATANIEL N.,M,0.0003661219503853972,first_initial
VALENTYN N.,M,0.0003657492123346103,first_initial
STEPAN N.,M,0.0003598785880347172,first_initial
KLAUDIUSZ N.,M,0.00035726942167920914,first_initial
MIESZKO N.,M,0.0003518647199427996,first_initial
GUSTAW N.,M,0.00034804415492223427,first_initial
SAMUEL N.,M,0.00034627364918099663,first_initial
KONSTANTY N.,M,0.0003440838131326238,first_initial
TYMOFII N.,M,0.000333041448378063,first_initial
GIORGI N.,M,0.0003211604230092317,first_initial
ROSTYSLAV N.,M,0.0003186444411664204,first_initial
DAVYD N.,M,0.00031775918829580156,first_initial
CYPRIAN N.,M,0.00031100331112528967,first_initial
LEO N.,M,0.0003064838622594989,first_initial
EDUARD N.,M,0.0003051792790817449,first_initial
YAUHENI N.,M,0.000298423401911233,first_initial
ALOJZY N.,M,0.00029814384837314285,first_initial
FLORIAN N.,M,0.0002935312149946554,first_initial
BRAJAN N.,M,0.0002866821533114468,first_initial
SERGII N.,M,0.00027838873168143903,first_initial
KEVIN N.,M,0.0002775500710671686,first_initial
BENEDYKT N.,M,0.00027643185691480804,first_initial
NAZARII N.,M,0.00027554660404418923,first_initial
RAJMUND N.,M,0.0002692100571808125,first_initial
ULADZIMIR N.,M,0.0002621280342158621,first_initial
VITALI N.,M,0.0002584006537079935,first_initial
YURY N.,M,0.000256909701504846,first_initial
IWO N.,M,0.00025663014796675586,first_initial
VICTOR N.,M,0.00025574489509613704,first_initial
LEONID N.,M,0.00024856968761848995,first_initial
MIKHAIL N.,M,0.0002440502387526992,first_initial
BENIAMIN N.,M,0.00024162744142258458,first_initial
KORDIAN N.,M,0.00023612955517347836,first_initial
TYMUR N.,M,0.0002340794958941506,first_initial
JEREMI N.,M,0.0002338465346124088,first_initial
MARCELI N.,M,0.00023198284435847449,first_initial
ARIEL N.,M,0.00022993278507914673,first_initial
SVIATOSLAV N.,M,0.00022853501738869599,first_initial
MAXIMILIAN N.,M,0.00022806909482521242,first_initial
ULADZISLAU N.,M,0.00022713724969824524,first_initial
FRYDERYK N.,M,0.00022000863447694648,first_initial
RUDOLF N.,M,0.00021856427453014737,first_initial
IHAR N.,M,0.00021693354555795484,first_initial
ALEKSY N.,M,0.0002168869533016065,first_initial
THOMAS N.,M,0.00021674717653256143,first_initial
ANDRIY N.,M,0.00021553577786750412,first_initial
PATRICK N.,M,0.00020905945423508235,first_initial
OSCAR N.,M,0.0002071025794684513,first_initial
WINCENTY N.,M,0.00020663665690496774,first_initial
DZIANIS N.,M,0.00020649688013592266,first_initial
HIERONIM N.,M,0.00020165128547569342,first_initial
ERWIN N.,M,0.00020048647906698448,first_initial
ALEH N.,M,0.00020006714875984925,first_initial
ROLAND N.,M,0.00019545451538136182,first_initial
MIKALAI N.,M,0.0001943828934853496,first_initial
SERGIUSZ N.,M,0.0001915873581044481,first_initial
VIKTAR N.,M,0.0001877202008275344,first_initial
NICOLAS N.,M,0.00018375985903792397,first_initial
AMADEUSZ N.,M,0.00018101091591337084,first_initial
OLGIERD N.,M,0.00018045180883719054,first_initial
ARTSIOM N.,M,0.0001759323599713998,first_initial
ZYGFRYD N.,M,0.000174394815511904,first_initial
HENNADII N.,M,0.00016861737572470761,first_initial
PETER N.,M,0.00016745256931599865,first_initial
MAURYCY N.,M,0.00016577524808745775,first_initial
MAKAR N.,M,0.00016409792685891688,first_initial
RAMAN N.,M,0.00016139557599071213,first_initial
ZAKHAR N.,M,0.00015990462378756464,first_initial
EMILIAN N.,M,0.00015915914768599093,first_initial
OLIWER N.,M,0.00015380103820592975,first_initial
HRYHORII N.,M,0.00015366126143688468,first_initial
VADZIM N.,M,0.00015324193112974945,first_initial
MIKITA N.,M,0.00015249645502817574,first_initial
KEWIN N.,M,0.000151750978926602,first_initial
ILYA N.,M,0.00015105209508137663,first_initial
ARSEN N.,M,0.0001484429287258686,first_initial
ION N.,M,0.0001484429287258686,first_initial
BENJAMIN N.,M,0.00014811678293143009,first_initial
VLADIMIR N.,M,0.00014760426811159815,first_initial
MYROSLAV N.,M,0.00014294504247676235,first_initial
NATHAN N.,M,0.00014229275088788534,first_initial
JACOB N.,M,0.0001415472747863116,first_initial
BRUNON N.,M,0.00014070861417204115,first_initial
YURIY N.,M,0.00014056883740299608,first_initial
IURII N.,M,0.00014028928386490593,first_initial
WALENTY N.,M,0.00013907788519984863,first_initial
CHRISTIAN N.,M,0.00013879833166175848,first_initial
HUGO N.,M,0.0001363289420752955,first_initial
ARNOLD N.,M,0.000136002796280857,first_initial
JEREMIASZ N.,M,0.00013586301951181194,first_initial
KIRYL N.,M,0.00013493117438484478,first_initial
AUGUSTYN N.,M,0.00013344022218169733,first_initial
MAX N.,M,0.0001330208918745621,first_initial
ALEKSANDR N.,M,0.00013162312418411136,first_initial
ALEXANDR N.,M,0.00013083105582618927,first_initial
LEOPOLD N.,M,0.0001302253564936606,first_initial
DANYIL N.,M,0.0001291071423413,first_initial
SERGHEI N.,M,0.00012850144300877137,first_initial
OKTAWIAN N.,M,0.00012752300562545585,first_initial
MARKO N.,M,0.0001272434520873657,first_initial
VALERY N.,M,0.00012607864567865676,first_initial
HLIB N.,M,0.00012351607157949705,first_initial
TIMUR N.,M,0.00011936936076449319,first_initial
LEV N.,M,0.00011932276850814484,first_initial
JOHN N.,M,0.00011825114661213261,first_initial
PAUL N.,M,0.00011773863179230066,first_initial
EMANUEL N.,M,0.0001173658937415138,first_initial
KIRIL N.,M,0.00011731930148516544,first_initial
YAN N.,M,0.00011685337892168186,first_initial
HERBERT N.,M,0.00011662041763994008,first_initial
ALI N.,M,0.00011587494153836635,first_initial
ANATOL N.,M,0.00011564198025662456,first_initial
MATTHEW N.,M,0.00011457035836061233,first_initial
MIRON N.,M,0.00011457035836061233,first_initial
OREST N.,M,0.00011401125128443203,first_initial
LIUBOMYR N.,M,0.00011307940615746487,first_initial
KORNELIUSZ N.,M,0.0001130328139011165,first_initial
JONASZ N.,M,0.00011279985261937472,first_initial
ANTHONY N.,M,0.00011228733779954278,first_initial
JUAN N.,M,0.00011228733779954278,first_initial
VLADISLAV N.,M,0.00011154186169796905,first_initial
ARON N.,M,0.00011084297785274368,first_initial
WILHELM N.,M,0.00010986454046942817,first_initial
XAVIER N.,M,0.0001091656566242028,first_initial
NIKOLAS N.,M,0.00010897928759880937,first_initial
JONATAN N.,M,0.00010869973406071922,first_initial
EDWIN N.,M,0.00010814062698453892,first_initial
ALBIN N.,M,0.00010800085021549384,first_initial
LIAM N.,M,0.00010748833539566191,first_initial
MOHAMED N.,M,0.00010688263606313326,first_initial
DAVIT N.,M,0.00010683604380678489,first_initial
KASPER N.,M,0.00010548486837268251,first_initial
CHRISTOPHER N.,M,0.00010511213032189564,first_initial
ADOLF N.,M,0.00010371436263144491,first_initial
VINCENT N.,M,0.00010240977945369088,first_initial
MAXIM N.,M,0.00010227000268464581,first_initial
WALTER N.,M,0.00010227000268464581,first_initial
ARSENII N.,M,0.00010096541950689178,first_initial
PHILIP N.,M,0.00010063927371245328,first_initial
pan KOWALSKI,M,0.003141355526351953,title_surname
KOWALSKI,M,0.003141355526351953,surname_only
PIOTR K.,M,0.03179996043385591,first_initial
KRZYSZTOF K.,M,0.029441553602014725,first_initial
TOMASZ K.,M,0.024843783153302407,first_initial
ANDRZEJ K.,M,0.023936725106712575,first_initial
PAWEŁ K.,M,0.023392853698358192,first_initial
MICHAŁ K.,M,0.022938579198961702,first_initial
JAN K.,M,0.02154905833788462,first_initial
MARCIN K.,M,0.020839504865955476,first_initial
JAKUB K.,M,0.02020668884023208,first_initial
ADAM K.,M,0.018663553309974462,first_initial
ŁUKASZ K.,M,0.017811008203312207,first_initial
MATEUSZ K.,M,0.017592863259089195,first_initial
GRZEGORZ K.,M,0.017223992365579244,first_initial
MAREK K.,M,0.01720372473406771,first_initial
STANISŁAW K.,M,0.016252637005228675,first_initial
WOJCIECH K.,M,0.015633752064153437,first_initial
MARIUSZ K.,M,0.013218456087310907,first_initial
DARIUSZ K.,M,0.013021696988751792,first_initial
MACIEJ K.,M,0.012442695019110746,first_initial
RAFAŁ K.,M,0.012129175726142645,first_initial
ROBERT K.,M,0.011973464405426432,first_initial
KAMIL K.,M,0.011705512339167026,first_initial
ZBIGNIEW K.,M,0.011641168433149943,first_initial
SZYMON K.,M,0.01141174816289063,first_initial
DAWID K.,M,0.011179439172737716,first_initial
KACPER K.,M,0.010815227504862602,first_initial
JACEK K.,M,0.0105854344965525,first_initial
JERZY K.,M,0.01036579860012634,first_initial
BARTOSZ K.,M,0.009558634351147385,first_initial
ARTUR K.,M,0.009240875162851584,first_initial
RYSZARD K.,M,0.008819914126744169,first_initial
JÓZEF K.,M,0.008759670339285743,first_initial
JAROSŁAW K.,M,0.008756781619392145,first_initial
TADEUSZ K.,M,0.008670539352891334,first_initial
SEBASTIAN K.,M,0.00866895521617549,first_initial
DAMIAN K.,M,0.008565287445800393,first_initial
SŁAWOMIR K.,M,0.008429051688237795,first_initial
PATRYK K.,M,0.008397182584895517,first_initial
ANTONI K.,M,0.008231919851627892,first_initial
FILIP K.,M,0.008230382307168396,first_initial
ROMAN K.,M,0.008124757662026668,first_initial
MIROSŁAW K.,M,0.008071595897533191,first_initial
JANUSZ K.,M,0.008067262817692794,first_initial
DANIEL K.,M,0.008008044059874032,first_initial
KAROL K.,M,0.00772518247158315,first_initial
PRZEMYSŁAW K.,M,0.007689306434194914,first_initial
ALEKSANDER K.,M,0.007589226267558641,first_initial
HENRYK K.,M,0.00700332864397804,first_initial
ADRIAN K.,M,0.006967638975615197,first_initial
MIKOŁAJ K.,M,0.006594667963546592,first_initial
FRANCISZEK K.,M,0.006565734172354261,first_initial
DOMINIK K.,M,0.006360355506370699,first_initial
KAZIMIERZ K.,M,0.006174825141591537,first_initial
ARKADIUSZ K.,M,0.006164155514887764,first_initial
WIESŁAW K.,M,0.006063329872149917,first_initial
BARTŁOMIEJ K.,M,0.005873885757837493,first_initial
OLEKSANDR K.,M,0.005828737861435934,first_initial
MARIAN K.,M,0.005548532031756909,first_initial
WIKTOR K.,M,0.005494485014392814,first_initial
KRYSTIAN K.,M,0.005179987284041398,first_initial
LESZEK K.,M,0.005052604055184986,first_initial
RADOSŁAW K.,M,0.004820854172108254,first_initial
WALDEMAR K.,M,0.0047736096241710185,first_initial
IGOR K.,M,0.0044884184230627195,first_initial
HUBERT K.,M,0.004232300789915796,first_initial
BOGDAN K.,M,0.004222190270288202,first_initial
KONRAD K.,M,0.004210588798457461,first_initial
ZDZISŁAW K.,M,0.0039753910884109496,first_initial
MARCEL K.,M,0.0038643617415328123,first_initial
OSKAR K.,M,0.0037719692971940185,first_initial
NIKODEM K.,M,0.0036117851198683637,first_initial
ANDRII K.,M,0.003587463962054521,first_initial
SERHII K.,M,0.003511565176463046,first_initial
MAKSYMILIAN K.,M,0.003509421932671021,first_initial
EDWARD K.,M,0.0033981596245111424,first_initial
MIECZYSŁAW K.,M,0.0032279581120705906,first_initial
LEON K.,M,0.00321095193850344,first_initial
MIŁOSZ K.,M,0.003177358921676274,first_initial
VOLODYMYR K.,M,0.003168506392970086,first_initial
DMYTRO K.,M,0.0030152644618403365,first_initial
WŁADYSŁAW K.,M,0.0029989105798620625,first_initial
OLIWIER K.,M,0.0028971530919972488,first_initial
IVAN K.,M,0.0027884067656801814,first_initial
CZESŁAW K.,M,0.002751412514139585,first_initial
IRENEUSZ K.,M,0.002673044338961647,first_initial
BOGUSŁAW K.,M,0.0026451355774089803,first_initial
MAKSYM K.,M,0.0026102845696604087,first_initial
EUGENIUSZ K.,M,0.0025842860906180247,first_initial
WITOLD K.,M,0.0025281424217182533,first_initial
ALAN K.,M,0.002479406921577871,first_initial
IGNACY K.,M,0.002460117727449651,first_initial
SYLWESTER K.,M,0.0024387318817857546,first_initial
STEFAN K.,M,0.0024270372254423167,first_initial
CEZARY K.,M,0.002244628541838495,first_initial
GABRIEL K.,M,0.0022188164318215045,first_initial
ZYGMUNT K.,M,0.002154425933548074,first_initial
MYKOLA K.,M,0.0021323877962953004,first_initial
JULIAN K.,M,0.002099866401364147,first_initial
TYMON K.,M,0.002044747762104039,first_initial
WŁODZIMIERZ K.,M,0.0020176310689092947,first_initial
VITALII K.,M,0.0019492802288462536,first_initial
TYMOTEUSZ K.,M,0.0018982151158884533,first_initial
VLADYSLAV K.,M,0.0018549309097408288,first_initial
YURII K.,M,0.0018494330234917224,first_initial
NORBERT K.,M,0.001829211984236535,first_initial
MYKHAILO K.,M,0.001825810749523105,first_initial
ZENON K.,M,0.001807593177290897,first_initial
IHOR K.,M,0.0017997656782243728,first_initial
VASYL K.,M,0.0017828060969135705,first_initial
ARTEM K.,M,0.0017501449252133715,first_initial
FABIAN K.,M,0.0017042049604538906,first_initial
OLEH K.,M,0.001647502184477939,first_initial
BŁAŻEJ K.,M,0.0015437878218464939,first_initial
BOHDAN K.,M,0.0014850349865912146,first_initial
VIKTOR K.,M,0.0014456179377205036,first_initial
ERYK K.,M,0.0014100680461267066,first_initial
EMIL K.,M,0.0013829047606756138,first_initial
OLEKSII K.,M,0.001278677883224337,first_initial
DENYS K.,M,0.0012615785251444895,first_initial
NATAN K.,M,0.0011612653972264749,first_initial
RUSLAN K.,M,0.0010894201379373068,first_initial
KSAWERY K.,M,0.0010841552129699423,first_initial
BORYS K.,M,0.0010203238217726918,first_initial
LECH K.,M,0.0010064859216372295,first_initial
YAROSLAV K.,M,0.0010038301630253732,first_initial
PAVLO K.,M,0.0009674416108173056,first_initial
ALIAKSANDR K.,M,0.0009494569998668393,first_initial
OLAF K.,M,0.0009300280289695741,first_initial
WACŁAW K.,M,0.0009183333726261362,first_initial
BRONISŁAW K.,M,0.0009051477640795508,first_initial
REMIGIUSZ K.,M,0.0009037499963891002,first_initial
KAJETAN K.,M,0.0008869767841036913,first_initial
VADYM K.,M,0.0008839948796973963,first_initial
BRUNO K.,M,0.0008639602094676024,first_initial
KUBA K.,M,0.0008227260625993056,first_initial
ANDREI K.,M,0.0008166224770176706,first_initial
ANATOLII K.,M,0.0008112177752812611,first_initial
BERNARD K.,M,0.0007813055467056153,first_initial
BOLESŁAW K.,M,0.0007780906810175786,first_initial
ILLIA K.,M,0.0007552138831505348,first_initial
ANTON K.,M,0.0007348996593826507,first_initial
YEVHEN K.,M,0.0007335484839485483,first_initial
TOBIASZ K.,M,0.0007287028892883191,first_initial
DAVID K.,M,0.0007254880236002825,first_initial
ALBERT K.,M,0.0007149115814092051,first_initial
NAZAR K.,M,0.0006866300818057519,first_initial
ALEXANDER K.,M,0.0006838345464248504,first_initial
GRACJAN K.,M,0.0006737240267972567,first_initial
PETRO K.,M,0.0006678068102410152,first_initial
LUCJAN K.,M,0.0006661760812688227,first_initial
YEVHENII K.,M,0.0006656635664489907,first_initial
SIARHEI K.,M,0.0006645453522966301,first_initial
SEWERYN K.,M,0.0006484710238564466,first_initial
DZMITRY K.,M,0.0006403639712518323,first_initial
EDMUND K.,M,0.0006333751327995787,first_initial
STANISLAV K.,M,0.000631604627058341,first_initial
KORNEL K.,M,0.0006179530959482722,first_initial
DANYLO K.,M,0.0006116165490848954,first_initial
ROMUALD K.,M,0.0006019719520207853,first_initial
OLIVIER K.,M,0.0006006207765866829,first_initial
VALERII K.,M,0.0005959615509518472,first_initial
SZCZEPAN K.,M,0.0005905568492154377,first_initial
MARK K.,M,0.0005760666574910983,first_initial
TARAS K.,M,0.0005702426254475536,first_initial
ALEX K.,M,0.0005584081923350707,first_initial
ERNEST K.,M,0.0005341802190339244,first_initial
KOSTIANTYN K.,M,0.0005264924967364454,first_initial
JOACHIM K.,M,0.0005040350291765368,first_initial
VIACHESLAV K.,M,0.000492480149602144,first_initial
JĘDRZEJ K.,M,0.00048218326094915694,first_initial
ALFRED K.,M,0.00048097186228409966,first_initial
TEODOR K.,M,0.00047864224946668173,first_initial
LEONARD K.,M,0.00047705811275083757,first_initial
LUDWIK K.,M,0.00046443161128043253,first_initial
FELIKS K.,M,0.00046266110553919496,first_initial
MILAN K.,M,0.00045776891862261737,first_initial
LESŁAW K.,M,0.00045576545159963796,first_initial
BOGUMIŁ K.,M,0.0004513857795028923,first_initial
NIKITA K.,M,0.0004399706766975446,first_initial
KYRYLO K.,M,0.0004377342483928234,first_initial
OLIVER K.,M,0.00043237613891276226,first_initial
GERARD K.,M,0.00042794987455966823,first_initial
DANIIL K.,M,0.00042692484492000437,first_initial
JULIUSZ K.,M,0.0004227781341050005,first_initial
PAVEL K.,M,0.00041993600646775064,first_initial
DENIS K.,M,0.000419330307135222,first_initial
MYKYTA K.,M,0.0004192371226225253,first_initial
YEHOR K.,M,0.00041728024785589425,first_initial
ALEKS K.,M,0.0004121550996575749,first_initial
MATVII K.,M,0.0004065174366394236,first_initial
MAKSIM K.,M,0.000385364552257269,first_initial
MICHAEL K.,M,0.0003835008620033347,first_initial
DORIAN K.,M,0.000382755385901761,first_initial
ALIAKSEI K.,M,0.00037935415118833083,first_initial
MARTIN K.,M,0.00037744386867804815,first_initial
OLEG K.,M,0.0003682186019210733,first_initial
NATANIEL K.,M,0.0003661219503853972,first_initial
VALENTYN K.,M,0.0003657492123346103,first_initial
STEPAN K.,M,0.0003598785880347172,first_initial
KLAUDIUSZ K.,M,0.00035726942167920914,first_initial
MIESZKO K.,M,0.0003518647199427996,first_initial
GUSTAW K.,M,0.00034804415492223427,first_initial
SAMUEL K.,M,0.00034627364918099663,first_initial
KONSTANTY K.,M,0.0003440838131326238,first_initial
TYMOFII K.,M,0.000333041448378063,first_initial
GIORGI K.,M,0.0003211604230092317,first_initial
ROSTYSLAV K.,M,0.0003186444411664204,first_initial
